




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (1236)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
positive regulation of cell motility (GO:2000147)	545	56	32.71	+	1.71	3.06E-04	1.73E-02
cellular response to organonitrogen compound (GO:0071417)	604	60	36.25	+	1.66	3.24E-04	1.81E-02
molting cycle (GO:0042303)	91	16	5.46	+	2.93	3.36E-04	1.87E-02
hair cycle (GO:0042633)	91	16	5.46	+	2.93	3.36E-04	1.87E-02
ventricular cardiac muscle tissue development (GO:0003229)	55	12	3.30	+	3.64	3.41E-04	1.88E-02
positive regulation of neural precursor cell proliferation (GO:2000179)	55	12	3.30	+	3.64	3.41E-04	1.89E-02
muscle structure development (GO:0061061)	473	50	28.39	+	1.76	3.47E-04	1.91E-02
regulation of BMP signaling pathway (GO:0030510)	101	17	6.06	+	2.80	3.48E-04	1.91E-02
odontogenesis of dentin-containing tooth (GO:0042475)	82	15	4.92	+	3.05	3.52E-04	1.93E-02
hair follicle development (GO:0001942)	73	14	4.38	+	3.20	3.61E-04	1.97E-02
positive regulation of chromosome organization (GO:2001252)	182	25	10.92	+	2.29	3.66E-04	1.97E-02
cell-cell signaling (GO:0007267)	1131	99	67.88	+	1.46	3.63E-04	1.97E-02
cellular response to hormone stimulus (GO:0032870)	529	54	31.75	+	1.70	3.66E-04	1.98E-02
negative regulation of cell death (GO:0060548)	1008	90	60.49	+	1.49	3.71E-04	1.99E-02
transcription initiation from RNA polymerase II promoter (GO:0006367)	152	22	9.12	+	2.41	3.86E-04	2.06E-02
skeletal system development (GO:0001501)	479	50	28.75	+	1.74	3.85E-04	2.06E-02
regulation of MAP kinase activity (GO:0043405)	310	36	18.60	+	1.94	3.94E-04	2.10E-02
regulation of anatomical structure size (GO:0090066)	514	53	30.85	+	1.72	4.17E-04	2.21E-02
camera-type eye development (GO:0043010)	317	37	19.02	+	1.94	4.19E-04	2.22E-02
extracellular matrix organization (GO:0030198)	383	42	22.99	+	1.83	4.26E-04	2.24E-02
negative regulation of programmed cell death (GO:0043069)	914	83	54.85	+	1.51	4.28E-04	2.25E-02
extracellular structure organization (GO:0043062)	384	42	23.05	+	1.82	4.39E-04	2.30E-02
protein metabolic process (GO:0019538)	4203	305	252.24	+	1.21	4.43E-04	2.31E-02
negative regulation of cell activation (GO:0050866)	205	27	12.30	+	2.19	4.54E-04	2.36E-02
morphogenesis of an epithelium (GO:0002009)	441	47	26.47	+	1.78	4.62E-04	2.39E-02
cellular protein metabolic process (GO:0044267)	3590	265	215.45	+	1.23	4.67E-04	2.41E-02
enamel mineralization (GO:0070166)	13	6	.78	+	7.69	4.66E-04	2.41E-02
establishment of localization (GO:0051234)	4631	332	277.93	+	1.19	4.71E-04	2.41E-02
regulation of dendrite development (GO:0050773)	104	17	6.24	+	2.72	4.70E-04	2.41E-02
sensory system development (GO:0048880)	374	41	22.45	+	1.83	5.32E-04	2.70E-02
positive regulation of transport (GO:0051050)	947	85	56.83	+	1.50	5.30E-04	2.70E-02
regulation of Wnt signaling pathway (GO:0030111)	377	41	22.63	+	1.81	5.77E-04	2.92E-02
positive regulation of MAP kinase activity (GO:0043406)	232	29	13.92	+	2.08	5.97E-04	3.01E-02
rhythmic process (GO:0048511)	269	32	16.14	+	1.98	5.97E-04	3.01E-02
immunoglobulin production (GO:0002377)	138	0	8.28	-	 < 0.01	6.05E-04	3.04E-02
female sex differentiation (GO:0046660)	107	17	6.42	+	2.65	6.26E-04	3.13E-02
external encapsulating structure organization (GO:0045229)	386	42	23.17	+	1.81	6.32E-04	3.15E-02
production of molecular mediator of immune response (GO:0002440)	141	0	8.46	-	 < 0.01	6.48E-04	3.21E-02
columnar/cuboidal epithelial cell differentiation (GO:0002065)	78	14	4.68	+	2.99	6.46E-04	3.21E-02
eye development (GO:0001654)	364	40	21.85	+	1.83	6.57E-04	3.25E-02
respiratory system development (GO:0060541)	200	26	12.00	+	2.17	6.70E-04	3.30E-02
aging (GO:0007568)	296	34	17.76	+	1.91	7.00E-04	3.43E-02
visual system development (GO:0150063)	368	40	22.09	+	1.81	7.20E-04	3.52E-02
wound healing (GO:0042060)	444	46	26.65	+	1.73	7.28E-04	3.55E-02
positive regulation of protein serine/threonine kinase activity (GO:0071902)	321	36	19.26	+	1.87	7.40E-04	3.60E-02
contact inhibition (GO:0060242)	9	5	.54	+	9.26	7.51E-04	3.63E-02
detection of cell density (GO:0060245)	9	5	.54	+	9.26	7.51E-04	3.64E-02
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	262	31	15.72	+	1.97	8.03E-04	3.85E-02
protein modification process (GO:0036211)	2985	223	179.14	+	1.24	8.03E-04	3.86E-02
cellular protein modification process (GO:0006464)	2985	223	179.14	+	1.24	8.03E-04	3.87E-02
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	140	20	8.40	+	2.38	8.19E-04	3.91E-02
epithelium development (GO:0060429)	1113	96	66.80	+	1.44	8.34E-04	3.97E-02
response to insulin (GO:0032868)	241	29	14.46	+	2.01	8.41E-04	3.99E-02
response to laminar fluid shear stress (GO:0034616)	15	6	.90	+	6.67	8.46E-04	4.00E-02
response to peptide hormone (GO:0043434)	406	43	24.37	+	1.76	8.54E-04	4.01E-02
cell population proliferation (GO:0008283)	485	49	29.11	+	1.68	8.49E-04	4.01E-02
negative regulation of cellular amide metabolic process (GO:0034249)	206	26	12.36	+	2.10	8.53E-04	4.01E-02
regulation of lymphocyte proliferation (GO:0050670)	227	28	13.62	+	2.06	8.68E-04	4.06E-02
macromolecule metabolic process (GO:0043170)	6151	425	369.15	+	1.15	8.96E-04	4.18E-02
hair follicle morphogenesis (GO:0031069)	29	8	1.74	+	4.60	9.14E-04	4.24E-02
neuron projection regeneration (GO:0031102)	29	8	1.74	+	4.60	9.14E-04	4.25E-02
axonogenesis (GO:0007409)	385	41	23.11	+	1.77	9.29E-04	4.27E-02
response to transforming growth factor beta (GO:0071559)	160	22	9.60	+	2.29	9.33E-04	4.27E-02
regulation of mononuclear cell proliferation (GO:0032944)	229	28	13.74	+	2.04	9.28E-04	4.28E-02
glandular epithelial cell differentiation (GO:0002067)	45	10	2.70	+	3.70	9.26E-04	4.28E-02
negative regulation of cellular component organization (GO:0051129)	724	67	43.45	+	1.54	9.55E-04	4.36E-02
macromolecule localization (GO:0033036)	2496	190	149.80	+	1.27	9.62E-04	4.37E-02
viral life cycle (GO:0019058)	230	28	13.80	+	2.03	9.62E-04	4.38E-02
negative regulation of neuron death (GO:1901215)	209	26	12.54	+	2.07	9.83E-04	4.45E-02
DNA-templated transcription, initiation (GO:0006352)	195	25	11.70	+	2.14	9.89E-04	4.46E-02
histone modification (GO:0016570)	363	39	21.79	+	1.79	9.97E-04	4.49E-02
negative regulation of protein binding (GO:0032091)	92	15	5.52	+	2.72	1.01E-03	4.55E-02
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	253	30	15.18	+	1.98	1.02E-03	4.55E-02
regulation of binding (GO:0051098)	365	39	21.91	+	1.78	1.05E-03	4.71E-02
membrane depolarization during action potential (GO:0086010)	30	8	1.80	+	4.44	1.10E-03	4.90E-02
